"location","frequency","lat","lon","class","type","importance","country","continent","confidence"
"fi*'.- .",1,63.2467777,25.9209164,"boundary","administrative",0.80732750356853,"Finland","Europe",1
"Finanz-und Rechnungswesen",1,52.58050715,13.3249428667074,"building","hospital",0.301,"Germany","Europe",1
"Finland",1,63.2467777,25.9209164,"boundary","administrative",0.80732750356853,"Finland","Europe",1
"Food",1,-1.5279431,13.2539055857193,"aeroway","aerodrome",0.24232784765904,"Gabon","Africa",1
"Fotini",1,61.5650959,11.1647292,"place","locality",0.36,"Norway","Europe",1
"fra­",1,50.0229437,8.52493815191621,"aeroway","aerodrome",0.63888483356965,"Germany","Europe",1
"France",2,46.603354,1.8883335,"boundary","administrative",1.0233264437397,"France","Europe",1
"Frankfurt",17,50.1106444,8.6820917,"place","city",0.79413256224963,"Germany","Europe",0.818181818181818
"Frankfurt am Main",15,50.1106444,8.6820917,"place","city",0.99413256224963,"Germany","Europe",0.727272727272727
"FY",3,48.4736934,-118.4834362,"boundary","administrative",0.49195442652208,"United States of America","North America",0
"Gambia",1,13.470062,-15.4900464,"boundary","administrative",0.76224269823178,NA,NA,1
"ganzjährig Straße",1,49.0802213,11.7612631071724,"natural","water",0.201,"Germany","Europe",1
"Gardez",1,33.5877097,69.2685645,"boundary","administrative",0.39415531690656,"Afghanistan","Asia",1
"gasen",1,47.3833333,15.5708676,"boundary","administrative",0.497752393332,"Austria","Europe",1
"GBS/",1,14.777715,45.231286,"place","hamlet",0.25,"Yemen","Asia",1
"Gebem",3,40.4449059,31.4132568,"place","hamlet",0.36,"Turkey","Europe",1
"Gemeinden",1,53.0679569,13.1186132527269,"boundary","administrative",0.39350420583069,"Germany","Europe",1
"gen",1,47.9885433,-1.1235595,"boundary","administrative",0.61273410204932,"France","Europe",1
"gent",1,51.0538286,3.7250121,"boundary","administrative",0.73555830042813,"Belgium","Europe",1
"Germany",2,51.0834196,10.4234469,"boundary","administrative",0.88968148917225,"Germany","Europe",1
"Geschlecht",1,51.5417416,9.9393132,"place","house",0.101,"Germany","Europe",1
